layer_id,value_text,occurrences,layer_has_ontology
"SPEECH_TRANSCRIPT_AUDIO","No spoken content detected","423","false"
"OCR_VISIBLE_TEXT","No on-screen text detected","331","false"
"OCR_VISIBLE_TEXT","No readable text detected","229","false"
"SPEECH_TRANSCRIPT_AUDIO","No speech detected","168","false"
"OCR_VISIBLE_TEXT","No visible text detected","162","false"
"SPEECH_TRANSCRIPT_AUDIO","No meaningful speech detected","131","false"
"TEMPORAL_SCENE_STRUCTURE","Single continuous scene","103","false"
"SPEECH_TRANSCRIPT_AUDIO","No speech detected despite audio track","92","false"
"SPEECH_TRANSCRIPT_AUDIO","No spoken content supplied","55","false"
"OCR_VISIBLE_TEXT","No visible text detected in image","46","false"
"OCR_VISIBLE_TEXT","No visible text","42","false"
"MARKETING_CONTENT_USAGE","No marketing elements present","38","false"
"TEMPORAL_SCENE_STRUCTURE","Single continuous scene across two keyframes","33","false"
"SPEECH_TRANSCRIPT_AUDIO","Audio present but no speech detected","31","false"
"SPEECH_TRANSCRIPT_AUDIO","No meaningful speech despite audio track","30","false"
"SPEECH_TRANSCRIPT_AUDIO","No speech content detected","29","false"
"CINEMATOGRAPHY","Close-up handheld framing","28","false"
"ENVIRONMENT","Plain blue backdrop","28","true"
"PEOPLE_ROLES","Clinician and reclined patient","28","false"
"TEMPORAL_SCENE_STRUCTURE","One continuous scene across the clip","27","false"
"ASSET_IDENTITY_PROVENANCE","Single JPEG image with filename and checksum metadata","25","false"
"OCR_VISIBLE_TEXT","No text detected in image","25","false"
"RELATIONSHIPS","Practitioner hand interacting with patient's face","25","true"
"OCR_VISIBLE_TEXT","No readable text visible","24","false"
"TEMPORAL_SCENE_STRUCTURE","One scene represented by two keyframes","23","false"
"ASSET_IDENTITY_PROVENANCE","Identified MP4 video asset","20","false"
"ASSET_IDENTITY_PROVENANCE","Supplied JPEG asset metadata","20","false"
"CINEMATOGRAPHY","Close-up handheld vertical framing","20","false"
"OCR_VISIBLE_TEXT","No on-screen text","20","false"
"TEMPORAL_SCENE_STRUCTURE","One continuous scene, two keyframes","20","false"
"TEMPORAL_SCENE_STRUCTURE","Single continuous scene, two keyframes","20","false"
"ASSET_IDENTITY_PROVENANCE","Identified JPEG image asset","19","false"
"MARKETING_CONTENT_USAGE","No marketing overlays or branding present","19","false"
"OCR_VISIBLE_TEXT","No readable on-screen text detected","19","false"
"RELATIONSHIPS","No interpersonal relationship shown","19","true"
"ASSET_IDENTITY_PROVENANCE","Single JPEG image file with metadata","17","false"
"OCR_VISIBLE_TEXT","No readable text detected in frame","17","false"
"PEOPLE_ROLES","Clinician and patient present","17","false"
"RELATIONSHIPS","Clinician-patient interaction","17","true"
"RELATIONSHIPS","One person attends to another","17","true"
"RELATIONSHIPS","Practitioner hand interacting directly with patient's face","17","true"
"RELATIONSHIPS","Practitioner-patient interaction","17","true"
"SPEECH_TRANSCRIPT_AUDIO","No speech content provided","17","false"
"SPEECH_TRANSCRIPT_AUDIO","No spoken content captured","17","false"
"SPEECH_TRANSCRIPT_AUDIO","No spoken content provided","17","false"
"CINEMATOGRAPHY","Extreme close-up, handheld-style framing","16","false"
"CINEMATOGRAPHY","Close-up handheld-style framing","15","false"
"OCR_VISIBLE_TEXT","No readable text detected in scene","14","false"
"TEMPORAL_SCENE_STRUCTURE","One continuous scene","14","false"
"TEMPORAL_SCENE_STRUCTURE","Single continuous scene across the clip","14","false"
"CINEMATOGRAPHY","Extreme close-up, shallow depth of field","13","false"
"OCR_VISIBLE_TEXT","Text visible on scrub top","13","false"
"SPEECH_TRANSCRIPT_AUDIO","No meaningful speech","13","false"
"ASSET_IDENTITY_PROVENANCE","Video asset metadata supplied","12","false"
"ENVIRONMENT","Plain blue indoor backdrop","12","true"
"OCR_VISIBLE_TEXT","Partial text on scrub top","12","false"
"RELATIONSHIPS","Caregiver-patient interaction","12","true"
"RELATIONSHIPS","Practitioner-client interaction","12","true"
"SPEECH_TRANSCRIPT_AUDIO","No spoken content detected despite audio track","12","false"
"ACTIONS_EVENTS","No action or event depicted","11","true"
"CINEMATOGRAPHY","Close-up vertical framing","11","false"
"OCR_VISIBLE_TEXT","No readable on-screen text","11","false"
"PEOPLE_ROLES","Practitioner and patient present","11","false"
"RELATIONSHIPS","Practitioner hands interacting directly with patient's face","11","true"
"SPEECH_TRANSCRIPT_AUDIO","Audio present but no meaningful speech","11","false"
"CINEMATOGRAPHY","Extreme close-up, handheld framing","10","false"
"GLOBAL_ASSET_UNDERSTANDING","Single-scene clinical close-up video","10","false"
"MARKETING_CONTENT_USAGE","No marketing content indicated","10","false"
"OCR_VISIBLE_TEXT","No visible text in frame","10","false"
"RELATIONSHIPS","Provider-patient interaction","10","true"
"SPEECH_TRANSCRIPT_AUDIO","Audio track with meaningful speech present","10","false"
"SPEECH_TRANSCRIPT_AUDIO","No speech detected in audio track","10","false"
"SPEECH_TRANSCRIPT_AUDIO","No spoken content present","10","false"
"ASSET_IDENTITY_PROVENANCE","MP4 video file with technical metadata","9","false"
"CINEMATOGRAPHY","Close-up handheld vertical shot","9","false"
"CINEMATOGRAPHY","Extreme close-up shot with shallow depth of field","9","false"
"OCR_VISIBLE_TEXT","No on-screen text found","9","false"
"PEOPLE_ROLES","Patient and clinician present","9","false"
"PEOPLE_ROLES","Practitioner and reclined patient","9","false"
"PEOPLE_ROLES","Reclining patient and gloved practitioner","9","false"
"RELATIONSHIPS","Clinician actively treating reclined patient","9","true"
"RELATIONSHIPS","No interpersonal interaction shown","9","true"
"SEARCH_EMBEDDINGS","Searchable visual concepts available","9","false"
"SPEECH_TRANSCRIPT_AUDIO","No speech detected in audio","9","false"
"TEMPORAL_SCENE_STRUCTURE","One continuous scene across two keyframes","9","false"
"ACTIONS_EVENTS","Clinician positions device near patient's face","8","true"
"ASSET_IDENTITY_PROVENANCE","MP4 asset with supplied technical metadata","8","false"
"ASSET_IDENTITY_PROVENANCE","Video scene with two supplied keyframes","8","false"
"CINEMATOGRAPHY","Close-up shot with shallow depth of field","8","false"
"CINEMATOGRAPHY","Extreme close-up, vertical framing","8","false"
"OCR_VISIBLE_TEXT","No visible or detected text in image","8","false"
"OCR_VISIBLE_TEXT","Text visible on clinician's scrub top","8","false"
"PEOPLE_ROLES","Clinician and patient","8","false"
"PEOPLE_ROLES","One adult male subject, role unspecified","8","false"
"PEOPLE_ROLES","Practitioner and seated client","8","false"
"PEOPLE_ROLES","Worker and reclining recipient","8","false"
"SPEECH_TRANSCRIPT_AUDIO","No meaningful speech detected despite audio track","8","false"
"ASSET_IDENTITY_PROVENANCE","Identified JPEG asset","7","false"
"ASSET_IDENTITY_PROVENANCE","Single JPEG photo with filename and checksum metadata","7","false"
"CINEMATOGRAPHY","Close-up handheld angled shot","7","false"
"CINEMATOGRAPHY","Close-up handheld vertical video","7","false"
"CINEMATOGRAPHY","Extreme close-up handheld shot","7","false"
"CINEMATOGRAPHY","Extreme close-up handheld-style framing","7","false"
"CINEMATOGRAPHY","Extreme close-up, vertical framing, shallow focus","7","false"
